,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
973,0 days 01:29:04.683000,14,0 days 00:01:17.602000,43.0,,,0 days 00:00:20.333000,0 days 00:00:36.367000,0 days 00:00:20.902000,0 days 01:28:07.414000,0 days 01:28:43.781000,0 days 01:29:04.683000,205.0,190.0,254.0,275.0,False,MEDIUM,43.0,True,1,0 days 01:27:47.081000,Alpine,ALO,1,True,2021-05-23 13:57:47.844
974,0 days 01:30:23.067000,14,0 days 00:01:18.384000,44.0,,,0 days 00:00:20.475000,0 days 00:00:36.793000,0 days 00:00:21.116000,0 days 01:29:25.158000,0 days 01:30:01.951000,0 days 01:30:23.067000,206.0,186.0,253.0,275.0,False,MEDIUM,44.0,True,1,0 days 01:29:04.683000,Alpine,ALO,1,True,2021-05-23 13:59:05.446
975,0 days 01:31:57.482000,14,0 days 00:01:34.415000,45.0,,0 days 01:31:34.693000,0 days 00:00:20.623000,0 days 00:00:36.493000,0 days 00:00:37.299000,0 days 01:30:43.690000,0 days 01:31:20.183000,0 days 01:31:57.482000,201.0,187.0,,276.0,False,MEDIUM,45.0,True,1,0 days 01:30:23.067000,Alpine,ALO,1,False,2021-05-23 14:00:23.830
976,0 days 01:33:18.114000,14,0 days 00:01:20.632000,46.0,0 days 01:31:58.267000,,0 days 00:00:23.209000,0 days 00:00:36.729000,0 days 00:00:20.694000,0 days 01:32:20.691000,0 days 01:32:57.420000,0 days 01:33:18.114000,189.0,186.0,255.0,277.0,False,SOFT,1.0,True,2,0 days 01:31:57.482000,Alpine,ALO,1,False,2021-05-23 14:01:58.245
977,0 days 01:34:33.234000,14,0 days 00:01:15.120000,47.0,,,0 days 00:00:19.901000,0 days 00:00:35.098000,0 days 00:00:20.121000,0 days 01:33:38.015000,0 days 01:34:13.113000,0 days 01:34:33.234000,206.0,195.0,255.0,277.0,False,SOFT,2.0,True,2,0 days 01:33:18.114000,Alpine,ALO,1,True,2021-05-23 14:03:18.877
978,0 days 01:35:53.552000,14,0 days 00:01:20.318000,48.0,,,0 days 00:00:22.917000,0 days 00:00:36.453000,0 days 00:00:20.948000,0 days 01:34:56.151000,0 days 01:35:32.604000,0 days 01:35:53.552000,196.0,187.0,254.0,278.0,False,SOFT,3.0,True,2,0 days 01:34:33.234000,Alpine,ALO,1,True,2021-05-23 14:04:33.997
979,0 days 01:37:10.309000,14,0 days 00:01:16.757000,49.0,,,0 days 00:00:20.187000,0 days 00:00:35.764000,0 days 00:00:20.806000,0 days 01:36:13.739000,0 days 01:36:49.503000,0 days 01:37:10.309000,205.0,187.0,255.0,278.0,False,SOFT,4.0,True,2,0 days 01:35:53.552000,Alpine,ALO,1,True,2021-05-23 14:05:54.315
980,0 days 01:38:27.306000,14,0 days 00:01:16.997000,50.0,,,0 days 00:00:20.377000,0 days 00:00:35.892000,0 days 00:00:20.728000,0 days 01:37:30.686000,0 days 01:38:06.578000,0 days 01:38:27.306000,198.0,193.0,253.0,277.0,False,SOFT,5.0,True,2,0 days 01:37:10.309000,Alpine,ALO,1,True,2021-05-23 14:07:11.072
981,0 days 01:39:44.033000,14,0 days 00:01:16.727000,51.0,,,0 days 00:00:20.279000,0 days 00:00:35.835000,0 days 00:00:20.613000,0 days 01:38:47.585000,0 days 01:39:23.420000,0 days 01:39:44.033000,199.0,192.0,254.0,277.0,False,SOFT,6.0,True,2,0 days 01:38:27.306000,Alpine,ALO,1,True,2021-05-23 14:08:28.069
982,0 days 01:41:00.342000,14,0 days 00:01:16.309000,52.0,,,0 days 00:00:20.249000,0 days 00:00:35.491000,0 days 00:00:20.569000,0 days 01:40:04.282000,0 days 01:40:39.773000,0 days 01:41:00.342000,,192.0,255.0,277.0,False,SOFT,7.0,True,2,0 days 01:39:44.033000,Alpine,ALO,1,True,2021-05-23 14:09:44.796
983,0 days 01:42:16.899000,14,0 days 00:01:16.557000,53.0,,,0 days 00:00:20.266000,0 days 00:00:35.709000,0 days 00:00:20.582000,0 days 01:41:20.608000,0 days 01:41:56.317000,0 days 01:42:16.899000,200.0,190.0,253.0,276.0,False,SOFT,8.0,True,2,0 days 01:41:00.342000,Alpine,ALO,1,True,2021-05-23 14:11:01.105
